InputCommand,CommandIndex
commence operations,7
close down service,8
restart,2
index tasks,6
stop web camera,13
close keylogger,15
invalid command,0
initiate program,4
transfer documents,9
clear registers,10
display tools,3
shut down,1
conclude operation,8
fetch record,9
trigger camera,12
start keylogger,14
reinitialize,2
enumerate applications,3
initiate keyloggers,14
finish keyloggers,15
start web camera,12
open tasks,7
execute software,4
screen capture,11
commence webcams,12
detail job,6
capture,11
display operation,6
shut program,5
execute tool,4
run apps,4
snapshot,11
screen shot,11
specify processes,6
invalid command,0
invalid command,0
retrieve documents,9
begin keyloggers,14
obtain file,9
finish software,5
record jobs,6
launch digital camera,12
invalid command,0
restarting,2
show programs,3
capture,11
kill off digital camera,13
break,1
index jobs,6
record applications,3
detail operation,6
cease process,8
launch operation,7
screenshot,11
turn off utilities,5
disable,1
initiate keyloggers,14
turn off,1
initiate process,7
uninstalling file,10
retrieve register,9
record programs,3
initiate keyloggers,14
enumerate operation,6
invalid command,0
complete tasks,8
shut tasks,8
show task,6
complete process,8
invalid command,0
end webcam,13
register process,6
invalid command,0
run utilities,4
complete operations,8
terminate keylogger,15
list jobs,6
shut down,1
shut keyloggers,15
shut down,1
launch keyloggers,14
invalid command,0
capture,11
conclude application,5
start keylogger,14
retrieve,2
invalid command,0
invalid command,0
invalid command,0
uninstall registers,10
clear log,10
shut operation,8
store documents,9
capture,11
invalid command,0
recoup,2
kill tool,5
screen capture,11
record utilities,3
invalid command,0
activate software,4
finish camera,13
complete programs,5
remove file,10
cease keyloggers,15
rebooting,2
finish software,5
cripple,1
close keylogger,15
exit tasks,8
specify task,6
conclude keyloggers,15
run services,7
uninstalling registers,10
kill off video camera,13
index programs,3
execute jobs,7
invalid command,0
uninstall files,10
get file,9
trigger web cameras,12
initiate job,7
shut processes,8
snapshot,11
halt utility,5
turn off,1
reinitialize,2
terminate operation,8
reawaken,2
kill off keyloggers,15
trigger video cameras,12
show operations,6
open utilities,4
reclaim,2
discard records,10
clear records,10
open camcorder,12
commence job,7
open task,7
run programs,4
register utilities,3
commence utility,4
invalid command,0
rekindle,2
invalid command,0
commence software,4
screen grab,11
finish digital camera,13
power off processes,8
kill tool,5
log software,3
cease keylogger,15
restarting,2
reanimate,2
open apps,4
trash data,10
execute processes,7
trigger processes,7
fetch logs,9
complete tools,5
launch video camera,12
start video camera,12
remove registers,10
terminate keyloggers,15
commence keylogger,14
break utility,5
turn off program,5
end task,8
clear registers,10
close down process,8
shut down process,8
restore,2
clear registers,10
exit keylogger,15
snapshot,11
screen grab,11
kill off keylogger,15
power off,1
complete digital camera,13
record job,6
shut video camera,13
conclude jobs,8
discard log,10
eliminate information,10
close process,8
capture,11
screen shot,11
start camcorder,12
execute service,7
kill camera,13
eliminate logs,10
catalog processes,6
invalid command,0
screenshot,11
execute software,4
initiate utilities,4
invalid command,0
revive,2
trigger web camera,12
break,1
specify jobs,6
invalid command,0
access register,9
finish keyloggers,15
terminate camcorder,13
power off services,8
retrieve data,9
trash log,10
stop apps,5
power off job,8
screen grab,11
initiate camera,12
revive,2
delete data,10
revive,2
execute job,7
discard register,10
enumerate software,3
download documents,9
conclude keyloggers,15
open software,4
close down program,5
open software,4
activate application,4
detail programs,3
initiate process,7
specify applications,3
copy files,9
turn off,1
erase record,10
reinitialize,2
end operations,8
commence app,4
uninstall log,10
break software,5
turn off,1
invalid command,0
retrieve logs,9
commence keyloggers,14
conclude program,5
run keyloggers,14
close tasks,8
screen grab,11
exit keyloggers,15
start services,7
erase document,10
end operation,8
initiate process,7
list job,6
retrieve,2
initiate cameras,12
get file,9
trigger web cameras,12
discard log,10
capture,11
initiate web cameras,12
finish camcorders,13
stop services,8
wipe file,10
open webcam,12
launch process,7
cripple,1
enumerate software,3
invalid command,0
invalid command,0
display service,6
begin cameras,12
log tasks,6
invalid command,0
exit web cameras,13
invalid command,0
shut tools,5
detail applications,3
activate video cameras,12
begin digital camera,12
begin program,4
execute app,4
run keyloggers,14
invalid command,0
finish keylogger,15
commence webcams,12
uninstalling file,10
execute keylogger,14
execute programs,4
invalid command,0
screenshot,11
kill keyloggers,15
access records,9
screenshot,11
invalid command,0
restore,2
screen shot,11
end keyloggers,15
catalog applications,3
start operations,7
log utilities,3
start over,2
terminate keylogger,15
discard documents,10
eliminate registers,10
reinstate,2
kill camera,13
copy document,9
trigger video camera,12
capture,11
reinitialize,2
store document,9
trigger keyloggers,14
stop operation,8
begin video camera,12
show tools,3
cease keyloggers,15
copy record,9
list apps,3
uninstall information,10
commence keyloggers,14
enumerate programs,3
start keylogger,14
start over,2
activate process,7
start over,2
invalid command,0
end keylogger,15
specify job,6
kill keyloggers,15
shut camera,13
obtain record,9
capture,11
execute process,7
detail processes,6
shut keylogger,15
initiate video cameras,12
execute camcorders,12
kill job,8
regain,2
shut down,1
execute jobs,7
launch camcorder,12
discard record,10
turn off,1
recharge,2
screen grab,11
open keylogger,14
trigger software,4
refresh,2
start software,4
start keyloggers,14
trigger web camera,12
detail tasks,6
enumerate software,3
launch webcams,12
power off services,8
open operation,7
terminate keyloggers,15
index jobs,6
snapshot,11
erase register,10
invalid command,0
disable,1
close down program,5
break apps,5
screen grab,11
execute cameras,12
uninstalling file,10
power off,1
start over,2
begin web cameras,12
open keyloggers,14
purge file,10
store document,9
fetch register,9
record programs,3
screen capture,11
kill off software,5
launch keyloggers,14
detail tools,3
initiate keyloggers,14
screen shot,11
finish webcams,13
start keylogger,14
execute programs,4
end keyloggers,15
conclude keylogger,15
get information,9
close program,5
shutdown,1
screen capture,11
erase document,10
display programs,3
list service,6
initiate task,7
cripple,1
screenshot,11
copy logs,9
detail apps,3
screenshot,11
power off,1
clear registers,10
detail operation,6
commence keyloggers,14
invalid command,0
close keyloggers,15
catalog utilities,3
turn off,1
run camcorders,12
complete digital cameras,13
run job,7
halt software,5
execute webcam,12
activate webcam,12
enumerate applications,3
display tasks,6
refresh,2
conclude video camera,13
trigger camera,12
display apps,3
record utilities,3
shut down,1
complete software,5
commence camcorders,12
repossess,2
wipe file,10
launch application,4
detail jobs,6
save registers,9
run task,7
kill keyloggers,15
exit keylogger,15
execute programs,4
redeem,2
initiate program,4
screen capture,11
rebooting,2
activate camcorder,12
conclude tasks,8
restore,2
initiate keylogger,14
shut down operations,8
close tools,5
trash register,10
reawaken,2
conclude keylogger,15
save record,9
close keyloggers,15
list tasks,6
initiate program,4
terminate camcorders,13
finish service,8
open camera,12
screen capture,11
disable,1
screenshot,11
initiate keyloggers,14
close utility,5
break,1
invalid command,0
finish web camera,13
trigger task,7
shut cameras,13
enumerate task,6
start webcams,12
begin webcams,12
retrieve records,9
finish jobs,8
renew,2
stop keyloggers,15
break software,5
shut down,1
stop digital camera,13
register service,6
complete digital cameras,13
invalid command,0
start service,7
finish webcam,13
close down operations,8
terminate camcorder,13
invalid command,0
initiate jobs,7
disable,1
start utility,4
execute jobs,7
delete register,10
reawaken,2
invalid command,0
invalid command,0
trigger processes,7
begin operations,7
finish jobs,8
start app,4
end application,5
log task,6
invalid command,0
terminate software,5
open camcorders,12
show service,6
clear data,10
shut down jobs,8
close webcam,13
open programs,4
reawaken,2
initiate keyloggers,14
end apps,5
access records,9
obtain registers,9
shut web camera,13
commence digital cameras,12
activate web camera,12
transfer records,9
terminate keylogger,15
execute tasks,7
run digital cameras,12
close process,8
disable software,5
shut camera,13
reawaken,2
launch application,4
record software,3
discard documents,10
invalid command,0
renew,2
power off software,5
capture,11
screen capture,11
execute utility,4
log service,6
log processes,6
complete keylogger,15
terminate keyloggers,15
show applications,3
exit tasks,8
reawaken,2
activate programs,4
index programs,3
launch camcorders,12
exit tasks,8
commence keylogger,14
execute application,4
conclude webcams,13
invalid command,0
store information,9
open keylogger,14
record task,6
cease web camera,13
discard record,10
restart,2
cease jobs,8
commence keylogger,14
specify apps,3
commence keyloggers,14
copy document,9
fetch file,9
stop program,5
shutdown,1
execute keyloggers,14
kill off camcorders,13
open web cameras,12
begin job,7
start keylogger,14
close down software,5
kill task,8
run video camera,12
kill application,5
show software,3
restore,2
delete record,10
reestablish,2
execute camcorders,12
clear log,10
turn off,1
save record,9
close keylogger,15
open video cameras,12
invalid command,0
shut keylogger,15
copy document,9
start program,4
activate digital cameras,12
kill off camcorder,13
start keyloggers,14
launch keyloggers,14
fetch information,9
initiate process,7
conclude camcorder,13
trigger software,4
exit processes,8
commence keyloggers,14
activate keyloggers,14
open processes,7
kill webcams,13
cease utilities,5
reawaken,2
invalid command,0
store files,9
trash documents,10
halt,1
trash file,10
trigger keylogger,14
run utility,4
cease web camera,13
conclude tasks,8
eliminate file,10
start task,7
list jobs,6
halt app,5
commence keylogger,14
end keylogger,15
cease video camera,13
invalid command,0
rebooting,2
remove register,10
run jobs,7
commence keyloggers,14
cripple,1
display tasks,6
uninstalling record,10
invalid command,0
reinstate,2
power off,1
enumerate task,6
screen grab,11
break app,5
shut down job,8
list process,6
access registers,9
conclude keyloggers,15
begin video cameras,12
remove registers,10
begin video camera,12
trigger keylogger,14
reawaken,2
purge information,10
detail jobs,6
terminate keylogger,15
initiate keyloggers,14
initiate keyloggers,14
finish digital cameras,13
execute keylogger,14
delete records,10
list utilities,3
show tools,3
complete web cameras,13
turn off,1
power off utilities,5
execute app,4
shut keyloggers,15
repossess,2
begin keylogger,14
run digital cameras,12
kill off keyloggers,15
begin keyloggers,14
rebooting,2
execute keylogger,14
retrieve log,9
disable program,5
begin utility,4
log software,3
cripple program,5
kill off keylogger,15
exit camcorder,13
turn off,1
detail operations,6
complete processes,8
transfer document,9
show utilities,3
acquire records,9
complete video cameras,13
turn off,1
end keylogger,15
specify utilities,3
invalid command,0
conclude app,5
discard log,10
list software,3
shut down,1
finish keyloggers,15
fetch register,9
begin keyloggers,14
shut down,1
discard logs,10
acquire data,9
capture,11
initiate tasks,7
stop keyloggers,15
begin software,4
finish software,5
shut down task,8
retrieve information,9
complete video cameras,13
show job,6
halt,1
resurrect,2
invalid command,0
detail tools,3
catalog apps,3
close down operation,8
kill digital camera,13
invalid command,0
reestablish,2
remove log,10
erase data,10
commence keyloggers,14
screen shot,11
wipe logs,10
exit keylogger,15
kill off jobs,8
stop processes,8
screenshot,11
list processes,6
run program,4
commence process,7
trigger app,4
shut down,1
conclude cameras,13
turn off,1
reanimate,2
break,1
terminate keylogger,15
screen grab,11
cease job,8
end utility,5
finish keyloggers,15
catalog job,6
complete operation,8
screen capture,11
uninstall registers,10
turn off,1
erase data,10
catalog programs,3
activate task,7
uninstall log,10
shut program,5
start task,7
retrieve register,9
conclude tasks,8
finish tool,5
close keyloggers,15
specify software,3
run keylogger,14
reawaken,2
execute keylogger,14
close video cameras,13
activate operations,7
purge records,10
run service,7
index tools,3
stop keylogger,15
uninstalling data,10
reboot,2
log operations,6
start utilities,4
launch utility,4
trigger keylogger,14
rebooting,2
turn off,1
start app,4
finish keylogger,15
display process,6
start keyloggers,14
register tasks,6
terminate app,5
activate digital cameras,12
discard files,10
log tools,3
launch keylogger,14
stop camera,13
execute task,7
trigger jobs,7
erase document,10
kill off camera,13
invalid command,0
terminate program,5
open task,7
commence app,4
close down tool,5
copy log,9
invalid command,0
invalid command,0
repossess,2
activate software,4
launch web cameras,12
capture,11
begin utilities,4
capture,11
initiate process,7
stop keyloggers,15
snapshot,11
start digital camera,12
reclaim,2
record job,6
open keylogger,14
begin keyloggers,14
fetch registers,9
clear documents,10
register tools,3
execute program,4
invalid command,0
break,1
kill off keylogger,15
stop operations,8
record job,6
get file,9
log task,6
power off,1
copy records,9
commence software,4
trigger operations,7
invalid command,0
start software,4
trigger keyloggers,14
recoup,2
show applications,3
screenshot,11
invalid command,0
specify tasks,6
erase documents,10
run video cameras,12
enumerate jobs,6
kill off camcorder,13
rekindle,2
uninstall information,10
shutdown,1
initiate processes,7
retrieve,2
shut down,1
close down application,5
trash log,10
screen capture,11
log programs,3
launch software,4
snapshot,11
shut digital camera,13
open web camera,12
run task,7
trigger services,7
screenshot,11
list operation,6
power off operations,8
initiate operations,7
finish keylogger,15
cease jobs,8
record applications,3
launch application,4
record tools,3
screenshot,11
terminate webcam,13
start keyloggers,14
trigger keylogger,14
transfer data,9
close software,5
snapshot,11
shut keyloggers,15
launch keylogger,14
invalid command,0
trigger digital camera,12
close webcam,13
cease jobs,8
redeem,2
save logs,9
log software,3
finish program,5
catalog operations,6
specify process,6
cripple,1
disable utility,5
screen shot,11
access logs,9
retrieve document,9
discard records,10
screen grab,11
catalog processes,6
activate cameras,12
display applications,3
break,1
reawaken,2
enumerate software,3
execute camera,12
acquire data,9
open keylogger,14
complete utility,5
uninstall register,10
exit camcorder,13
screen capture,11
record software,3
complete camcorder,13
execute web camera,12
invalid command,0
activate process,7
erase records,10
power off,1
erase records,10
shut keylogger,15
open service,7
turn off programs,5
terminate camcorders,13
invalid command,0
complete keyloggers,15
store registers,9
retrieve,2
launch keyloggers,14
erase logs,10
start keylogger,14
save document,9
rebooting,2
cease web cameras,13
screenshot,11
disable,1
halt,1
complete video cameras,13
open keyloggers,14
kill off task,8
shutdown,1
trigger service,7
cripple,1
remove logs,10
conclude services,8
trigger web camera,12
fetch records,9
screen shot,11
reanimate,2
shut down,1
open keyloggers,14
kill off job,8
initiate programs,4
capture,11
complete processes,8
kill off operations,8
end service,8
retrieve log,9
shut keylogger,15
activate digital camera,12
screen capture,11
delete register,10
transfer document,9
cripple utilities,5
cease software,5
power off utilities,5
invalid command,0
break,1
initiate web camera,12
copy record,9
shut down job,8
start processes,7
invalid command,0
conclude keylogger,15
commence software,4
finish task,8
start over,2
restarting,2
screenshot,11
commence keyloggers,14
download document,9
list job,6
end software,5
refresh,2
disable,1
trash documents,10
capture,11
detail processes,6
display operation,6
end operations,8
initiate keyloggers,14
screenshot,11
execute keylogger,14
capture,11
execute keylogger,14
snapshot,11
invalid command,0
shutdown,1
show software,3
register task,6
close keylogger,15
access data,9
kill camcorders,13
execute services,7
invalid command,0
terminate tool,5
record utilities,3
invalid command,0
purge logs,10
finish jobs,8
stop utilities,5
power off,1
screenshot,11
recoup,2
activate tool,4
open keylogger,14
screen grab,11
cripple,1
list software,3
screen capture,11
trigger operations,7
halt,1
power off app,5
delete document,10
begin camera,12
revive,2
run operations,7
terminate service,8
turn off,1
invalid command,0
activate keylogger,14
capture,11
invalid command,0
invalid command,0
launch software,4
screen grab,11
uninstall data,10
halt,1
get information,9
stop webcam,13
display process,6
disable tools,5
screen shot,11
retrieve documents,9
begin tasks,7
disable app,5
finish process,8
close down utility,5
retrieve,2
rekindle,2
launch processes,7
stop webcam,13
uninstall information,10
shut down,1
shutdown,1
save document,9
launch camcorder,12
start keylogger,14
break,1
end operation,8
initiate program,4
erase data,10
finish web cameras,13
copy information,9
terminate task,8
launch services,7
specify service,6
begin keylogger,14
terminate job,8
show job,6
trash file,10
activate web cameras,12
terminate processes,8
activate services,7
commence web camera,12
specify services,6
screen shot,11
cripple,1
snapshot,11
end software,5
cease application,5
terminate webcam,13
eliminate registers,10
begin keyloggers,14
halt,1
display processes,6
capture,11
complete video camera,13
copy records,9
execute web camera,12
shutdown,1
acquire files,9
screen capture,11
get document,9
close webcam,13
invalid command,0
stop camcorder,13
start keylogger,14
capture,11
snapshot,11
execute webcam,12
eliminate data,10
commence app,4
kill off video camera,13
retrieve register,9
transfer files,9
conclude webcam,13
activate tools,4
fetch logs,9
stop keylogger,15
eliminate registers,10
copy records,9
store document,9
detail process,6
launch video camera,12
end application,5
kill off camcorder,13
disable apps,5
eliminate records,10
start over,2
run keyloggers,14
finish keylogger,15
activate camcorders,12
shut down programs,5
screen shot,11
commence keyloggers,14
invalid command,0
screen capture,11
power off,1
stop task,8
save register,9
complete video cameras,13
execute operations,7
power off services,8
launch process,7
run keylogger,14
initiate jobs,7
start jobs,7
conclude keyloggers,15
conclude web camera,13
log task,6
halt,1
trash data,10
begin operation,7
shut down application,5
delete data,10
finish keyloggers,15
reinvigorate,2
terminate keylogger,15
reinstate,2
open utility,4
conclude digital camera,13
start tasks,7
initiate keylogger,14
list programs,3
trigger video camera,12
enumerate tools,3
show process,6
transfer document,9
restart,2
trigger program,4
capture,11
stop keyloggers,15
initiate processes,7
restore,2
begin keylogger,14
conclude keyloggers,15
download register,9
turn off,1
regain,2
purge files,10
log apps,3
close keyloggers,15
log applications,3
kill off programs,5
specify jobs,6
terminate keyloggers,15
show utilities,3
run web cameras,12
complete program,5
trash record,10
open utility,4
index software,3
open programs,4
activate keyloggers,14
erase record,10
acquire register,9
enumerate applications,3
trash log,10
list applications,3
uninstalling data,10
end keylogger,15
catalog utilities,3
trigger keyloggers,14
run keylogger,14
execute application,4
run process,7
terminate keyloggers,15
cripple utility,5
register jobs,6
obtain data,9
power off,1
initiate operation,7
invalid command,0
resurrect,2
recharge,2
open keyloggers,14
power off program,5
retrieve file,9
initiate services,7
invalid command,0
kill video camera,13
stop keylogger,15
terminate digital camera,13
trash files,10
commence utilities,4
kill keylogger,15
index applications,3
regain,2
record operation,6
screen capture,11
discard data,10
exit keyloggers,15
exit keyloggers,15
download documents,9
save file,9
cease operation,8
cease keyloggers,15
launch keyloggers,14
screen shot,11
acquire information,9
download register,9
kill operation,8
cease video camera,13
conclude keylogger,15
list operations,6
initiate operations,7
log services,6
begin apps,4
invalid command,0
invalid command,0
initiate keylogger,14
run keylogger,14
power off software,5
detail service,6
kill off video camera,13
cease cameras,13
screen shot,11
invalid command,0
record applications,3
screen capture,11
clear file,10
start tools,4
invalid command,0
trigger keyloggers,14
trigger video camera,12
specify services,6
run service,7
run keylogger,14
download registers,9
erase data,10
save registers,9
begin services,7
get information,9
copy records,9
close keylogger,15
log applications,3
obtain documents,9
kill keylogger,15
cease webcam,13
refresh,2
retrieve,2
save documents,9
open job,7
regain,2
finish keylogger,15
eliminate information,10
commence software,4
cease software,5
power off,1
disable,1
terminate app,5
execute keylogger,14
store record,9
end camcorders,13
cease keylogger,15
conclude task,8
stop keylogger,15
rekindle,2
end keyloggers,15
launch keylogger,14
invalid command,0
close keyloggers,15
close down tool,5
invalid command,0
index service,6
show processes,6
shut process,8
complete tools,5
shut video camera,13
begin web camera,12
conclude keylogger,15
screen shot,11
record tasks,6
activate keylogger,14
invalid command,0
run web cameras,12
invalid command,0
commence service,7
specify programs,3
terminate processes,8
trigger webcam,12
invalid command,0
commence programs,4
kill programs,5
acquire records,9
show utilities,3
rekindle,2
delete log,10
reinvigorate,2
initiate services,7
activate services,7
wipe registers,10
recoup,2
shut keyloggers,15
activate video cameras,12
kill process,8
disable,1
recharge,2
reinitialize,2
invalid command,0
log applications,3
invalid command,0
conclude webcams,13
power off,1
specify apps,3
discard data,10
stop webcam,13
power off apps,5
halt program,5
complete video cameras,13
invalid command,0
open keylogger,14
break program,5
snapshot,11
initiate service,7
begin application,4
save register,9
display task,6
break utilities,5
reinvigorate,2
screen shot,11
invalid command,0
show software,3
shut down,1
regain,2
conclude digital camera,13
power off software,5
cripple,1
initiate task,7
launch utilities,4
halt,1
run keyloggers,14
enumerate programs,3
log applications,3
disable,1
screen capture,11
shut down app,5
break,1
recharge,2
record utilities,3
complete camcorder,13
activate webcam,12
break,1
start process,7
kill digital camera,13
run keylogger,14
screen capture,11
initiate process,7
initiate keyloggers,14
end digital cameras,13
enumerate processes,6
stop keylogger,15
log tools,3
disable,1
cripple software,5
close digital cameras,13
retrieve register,9
conclude processes,8
cease web camera,13
show jobs,6
disable,1
catalog software,3
invalid command,0
end camcorders,13
run service,7
halt,1
end utility,5
finish process,8
display tasks,6
fetch files,9
open tools,4
list programs,3
close services,8
enumerate programs,3
open tasks,7
kill off keylogger,15
shut down utilities,5
turn off tools,5
activate jobs,7
run keyloggers,14
snapshot,11
start keylogger,14
kill service,8
invalid command,0
shut down,1
get log,9
disable,1
activate utility,4
commence software,4
kill digital camera,13
run video camera,12
trash information,10
launch keyloggers,14
refresh,2
wipe document,10
record processes,6
run video cameras,12
open services,7
turn off,1
end camera,13
launch jobs,7
fetch registers,9
record software,3
snapshot,11
close down tasks,8
complete keyloggers,15
eliminate document,10
display apps,3
initiate keylogger,14
close down job,8
snapshot,11
begin web camera,12
log tools,3
shutdown,1
obtain register,9
launch keyloggers,14
disable,1
retrieve documents,9
run cameras,12
invalid command,0
shut down programs,5
shut keylogger,15
reclaim,2
start keyloggers,14
execute webcams,12
invalid command,0
exit camcorder,13
access documents,9
enumerate process,6
trigger camera,12
initiate jobs,7
begin programs,4
invalid command,0
enumerate operation,6
catalog software,3
trigger job,7
terminate apps,5
recover,2
launch cameras,12
enumerate apps,3
snapshot,11
stop keylogger,15
record apps,3
commence services,7
complete apps,5
retrieve,2
access document,9
finish keylogger,15
complete keylogger,15
kill off keyloggers,15
turn off program,5
initiate apps,4
invalid command,0
save log,9
execute keylogger,14
run keylogger,14
trigger webcam,12
shut services,8
display processes,6
activate webcam,12
retrieve information,9
invalid command,0
kill off camcorder,13
snapshot,11
activate programs,4
wipe records,10
exit keyloggers,15
list applications,3
launch digital camera,12
kill app,5
power off,1
index tasks,6
start tasks,7
invalid command,0
invalid command,0
run web camera,12
terminate keyloggers,15
execute keyloggers,14
launch keyloggers,14
capture,11
shut keylogger,15
screenshot,11
terminate camcorder,13
begin camera,12
open task,7
invalid command,0
regain,2
erase logs,10
download document,9
list software,3
initiate webcams,12
trigger app,4
shut keyloggers,15
exit task,8
register tools,3
recharge,2
capture,11
exit keyloggers,15
close app,5
commence keyloggers,14
capture,11
regain,2
open keyloggers,14
invalid command,0
terminate application,5
invalid command,0
launch webcam,12
launch jobs,7
conclude processes,8
obtain registers,9
display operation,6
close down service,8
disable,1
run camcorders,12
eliminate file,10
disable program,5
commence web cameras,12
obtain logs,9
close keylogger,15
clear document,10
list applications,3
initiate video cameras,12
stop keyloggers,15
start over,2
log operations,6
invalid command,0
initiate tasks,7
screen grab,11
retrieve records,9
close down service,8
activate operations,7
snapshot,11
stop process,8
enumerate operations,6
commence software,4
start camcorders,12
start keylogger,14
start keylogger,14
begin keyloggers,14
complete webcam,13
renew,2
close cameras,13
reinstate,2
screen shot,11
trigger web camera,12
screenshot,11
display tasks,6
invalid command,0
screen capture,11
shut services,8
invalid command,0
shut keyloggers,15
recharge,2
kill programs,5
break utilities,5
cripple,1
initiate camera,12
kill off utility,5
begin application,4
invalid command,0
terminate processes,8
open keylogger,14
shut down,1
cease keylogger,15
list apps,3
halt,1
shutdown,1
invalid command,0
record processes,6
commence tools,4
kill off keyloggers,15
register tools,3
stop keyloggers,15
display programs,3
show apps,3
shut down services,8
log operation,6
display apps,3
trigger program,4
power off,1
commence apps,4
shutdown,1
copy record,9
break,1
terminate tools,5
launch operation,7
shut services,8
screen capture,11
clear documents,10
invalid command,0
catalog utilities,3
activate keylogger,14
purge information,10
detail task,6
invalid command,0
close down utility,5
turn off,1
invalid command,0
specify apps,3
snapshot,11
acquire information,9
execute application,4
begin webcams,12
activate keylogger,14
log tools,3
invalid command,0
start apps,4
halt,1
eliminate log,10
snapshot,11
invalid command,0
start video cameras,12
close operation,8
rebooting,2
power off apps,5
stop keylogger,15
capture,11
recharge,2
stop keylogger,15
capture,11
log tools,3
initiate webcam,12
invalid command,0
display software,3
stop keyloggers,15
invalid command,0
trigger services,7
finish video cameras,13
exit keyloggers,15
close digital cameras,13
invalid command,0
close down services,8
retrieve file,9
screen capture,11
invalid command,0
screenshot,11
begin task,7
commence web cameras,12
commence tasks,7
turn off,1
display software,3
terminate keylogger,15
terminate webcams,13
screen shot,11
detail processes,6
activate tools,4
conclude keyloggers,15
enumerate programs,3
activate processes,7
commence webcam,12
get data,9
power off task,8
purge documents,10
rebooting,2
disable,1
conclude keylogger,15
break,1
screen grab,11
get document,9
exit video cameras,13
list job,6
commence cameras,12
finish tool,5
kill task,8
execute tasks,7
invalid command,0
conclude web cameras,13
break,1
execute keyloggers,14
trigger task,7
open task,7
screen capture,11
break apps,5
clear file,10
invalid command,0
end video camera,13
show job,6
terminate keylogger,15
exit job,8
kill keyloggers,15
screenshot,11
commence services,7
initiate tools,4
cease tool,5
kill off keylogger,15
invalid command,0
index software,3
commence utility,4
catalog process,6
exit keylogger,15
cripple,1
save records,9
uninstall information,10
remove log,10
initiate operation,7
terminate keylogger,15
erase log,10
invalid command,0
run camcorders,12
turn off tools,5
shut down,1
power off processes,8
open utilities,4
run app,4
kill tasks,8
store register,9
reestablish,2
commence keylogger,14
launch jobs,7
specify operation,6
cripple tool,5
start webcam,12
index process,6
trash file,10
uninstalling record,10
initiate tasks,7
start camcorder,12
list tools,3
terminate tasks,8
record operation,6
conclude camcorder,13
kill camera,13
specify process,6
remove files,10
run tools,4
launch utilities,4
screenshot,11
initiate task,7
uninstalling files,10
initiate video camera,12
shut down job,8
specify programs,3
start keylogger,14
acquire logs,9
end webcam,13
invalid command,0
list process,6
close down tool,5
obtain data,9
execute video camera,12
kill off app,5
power off,1
detail tools,3
end tasks,8
kill webcam,13
stop video cameras,13
start processes,7
invalid command,0
fetch register,9
invalid command,0
cripple,1
end webcam,13
disable,1
register services,6
close software,5
shut utilities,5
access logs,9
run job,7
capture,11
complete keylogger,15
log services,6
start keyloggers,14
record utilities,3
retrieve record,9
uninstall registers,10
run software,4
conclude camcorder,13
list software,3
acquire register,9
exit keyloggers,15
shutdown,1
launch programs,4
transfer log,9
shut video cameras,13
execute video camera,12
launch webcams,12
stop keyloggers,15
recover,2
start software,4
invalid command,0
retrieve information,9
specify operation,6
snapshot,11
exit keylogger,15
activate programs,4
obtain data,9
detail tools,3
execute video cameras,12
turn off utility,5
specify software,3
close services,8
kill operation,8
execute utility,4
delete log,10
shutdown,1
run operations,7
delete log,10
shut video cameras,13
cease job,8
list software,3
invalid command,0
kill camera,13
power off apps,5
exit cameras,13
specify applications,3
kill off software,5
shut down,1
regain,2
conclude utilities,5
screen shot,11
terminate webcam,13
retrieve logs,9
turn off app,5
kill programs,5
exit operations,8
kill service,8
delete data,10
delete document,10
finish software,5
uninstalling log,10
disable software,5
open camera,12
trash data,10
invalid command,0
run keylogger,14
exit process,8
open programs,4
screen shot,11
halt software,5
invalid command,0
download log,9
launch program,4
begin web camera,12
terminate keyloggers,15
open webcam,12
acquire files,9
get logs,9
screen shot,11
trigger tasks,7
activate software,4
register applications,3
start utility,4
begin apps,4
close keyloggers,15
close keyloggers,15
initiate software,4
enumerate apps,3
trash data,10
close webcams,13
catalog job,6
invalid command,0
initiate video cameras,12
remove register,10
revive,2
screen shot,11
detail apps,3
list process,6
screen shot,11
open tools,4
reboot,2
initiate webcam,12
rekindle,2
finish services,8
trigger jobs,7
invalid command,0
trash records,10
screen capture,11
screenshot,11
invalid command,0
uninstalling registers,10
invalid command,0
close keyloggers,15
recharge,2
wipe registers,10
shut down,1
eliminate log,10
commence processes,7
terminate software,5
log operation,6
specify apps,3
disable,1
recoup,2
execute keylogger,14
retrieve file,9
commence keylogger,14
power off,1
terminate apps,5
stop keylogger,15
end keylogger,15
list programs,3
execute web cameras,12
kill off job,8
complete software,5
log programs,3
screen shot,11
end keylogger,15
shut down jobs,8
remove files,10
power off,1
register process,6
initiate processes,7
begin webcams,12
initiate software,4
screenshot,11
close down task,8
disable,1
invalid command,0
break,1
catalog process,6
terminate operations,8
eliminate information,10
enumerate operations,6
break,1
specify programs,3
disable,1
shutdown,1
begin keylogger,14
clear file,10
open keylogger,14
cease operation,8
activate utility,4
terminate camcorder,13
exit keylogger,15
snapshot,11
redeem,2
complete process,8
kill keyloggers,15
break apps,5
execute video camera,12
list programs,3
complete keyloggers,15
screenshot,11
run video camera,12
show programs,3
activate tools,4
start services,7
finish keylogger,15
uninstalling registers,10
invalid command,0
capture,11
reclaim,2
exit webcam,13
erase file,10
detail process,6
initiate keylogger,14
screen shot,11
cripple,1
activate service,7
record operation,6
launch job,7
end webcams,13
screen shot,11
enumerate task,6
recharge,2
